iter	MultiClass
0	1.071847509
1	1.037952553
2	1.013957051
3	0.987641168
4	0.9749267588
5	0.9554629727
6	0.9334169361
7	0.9203643687
8	0.9086331083
9	0.8946698696
10	0.887430884
11	0.8754856051
12	0.8684577537
13	0.8645416581
14	0.8558172422
15	0.8514090252
16	0.8434810533
17	0.8321747577
18	0.8281474615
19	0.821633538
20	0.8107004734
21	0.8010399092
22	0.7979054994
23	0.7894336394
24	0.7868184234
25	0.7825574626
26	0.7788306172
27	0.7755061321
28	0.7724580885
29	0.7655949619
30	0.7629039808
31	0.7591017851
32	0.7561954268
33	0.7500523778
34	0.747125005
35	0.7448884842
36	0.739600205
37	0.7378713611
38	0.7377480464
39	0.7356297915
40	0.7337461552
41	0.7321229987
42	0.7280991954
43	0.7264472009
44	0.7251210947
45	0.7184401482
46	0.7169292965
47	0.7155315675
48	0.7140709778
49	0.7120234661
50	0.709872654
51	0.7080396563
52	0.7054985196
53	0.7036527919
54	0.7018471551
55	0.6992188063
56	0.6966970199
57	0.6951162355
58	0.6936104512
59	0.6921591532
60	0.6894772648
61	0.6876649923
62	0.6855538665
63	0.683968216
64	0.6824078886
65	0.6806886044
66	0.6788696405
67	0.6775537551
68	0.6763969799
69	0.6747351227
70	0.6725935799
71	0.6711909372
72	0.6696249117
73	0.6677511719
74	0.6658128665
75	0.6645912903
76	0.6634388331
77	0.6622760076
78	0.6596444907
79	0.6584698004
80	0.6573754927
81	0.6559982952
82	0.6542072058
83	0.6529959615
84	0.6517774453
85	0.6491208374
86	0.6460226781
87	0.6442067438
88	0.6425104087
89	0.6412835951
90	0.6393468123
91	0.6367965976
92	0.6353460139
93	0.6338463
94	0.631904133
95	0.6292939183
96	0.6273112463
97	0.6257875015
98	0.6250956415
99	0.6238433507
100	0.6225332455
101	0.6206955055
102	0.6189521515
103	0.6172043834
104	0.6161203997
105	0.6138916455
106	0.6124782875
107	0.6104320015
108	0.6090668586
109	0.6078363476
110	0.6066591588
111	0.605187618
112	0.603541361
113	0.6021247524
114	0.5975850666
115	0.5959896089
116	0.5944372693
117	0.5930593249
118	0.5901834291
119	0.5889188934
120	0.5876682027
121	0.5862429464
122	0.5842795869
123	0.5832492228
124	0.5798941234
125	0.5784036624
126	0.5777568124
127	0.5767485569
128	0.5742932441
129	0.5731699394
130	0.5707441619
131	0.5697488988
132	0.5680019795
133	0.5668233016
134	0.5654570103
135	0.5638827117
136	0.5627586454
137	0.5615626491
138	0.5605386316
139	0.5597724568
140	0.5580840625
141	0.5567398861
142	0.5543762041
143	0.5534236923
144	0.5523705134
145	0.5511300354
146	0.5502165181
147	0.5492046442
148	0.5479444988
149	0.5465032588
150	0.5432644724
151	0.5422740063
152	0.5412884613
153	0.5404968858
154	0.5394568287
155	0.5383214267
156	0.5369696505
157	0.5357778622
158	0.5345944704
159	0.5333494907
160	0.531925274
161	0.5303955208
162	0.5296868772
163	0.5290108139
164	0.5275618355
165	0.5266451474
166	0.5255271285
167	0.524868666
168	0.5239580365
169	0.5229715322
170	0.5211045888
171	0.5202915196
172	0.5194911403
173	0.5189069517
174	0.51791358
175	0.5166802545
176	0.5157022375
177	0.5144297218
178	0.5136872985
179	0.5122631516
180	0.5113010794
181	0.5101589592
182	0.5095802981
183	0.5086322137
184	0.5081551699
185	0.5065691534
186	0.5050313247
187	0.5038110443
188	0.5030231646
189	0.5023183853
190	0.5017794721
191	0.5004379768
192	0.4995268915
193	0.498876566
194	0.4981807663
195	0.4973977873
196	0.4962892397
197	0.49554567
198	0.4944563127
199	0.4934646744
200	0.492745257
201	0.4916050533
202	0.4904211002
203	0.4895902732
204	0.4889129229
205	0.4878527878
206	0.4873247734
207	0.4862487633
208	0.4855588588
209	0.4847517852
210	0.4841160777
211	0.4831877853
212	0.4820149354
213	0.4808581913
214	0.4796497592
215	0.4790808941
216	0.477880389
217	0.4768408421
218	0.4757253379
219	0.4741836281
220	0.4735837698
221	0.4728011066
222	0.4719808004
223	0.4708772731
224	0.4700308041
225	0.4691306278
226	0.4678570117
227	0.4666909623
228	0.4657804685
229	0.4648519842
230	0.463981012
231	0.4631355257
232	0.4622868934
233	0.4611043777
234	0.4600648546
235	0.4592517969
236	0.4584942494
237	0.45761809
238	0.456585776
239	0.4555016529
240	0.4546002007
241	0.4536068051
242	0.4530615161
243	0.4518167706
244	0.4506503006
245	0.45005638
246	0.449031789
247	0.4478198478
248	0.4464576367
249	0.4457435645
250	0.4448011414
251	0.4440831099
252	0.4432532899
253	0.4423317997
254	0.4416677824
255	0.4408007854
256	0.4398029305
257	0.4390668568
258	0.4380774795
259	0.4372246522
260	0.4365081887
261	0.4352226455
262	0.4339989272
263	0.4332488058
264	0.4322763317
265	0.4315840497
266	0.4306720922
267	0.4297652002
268	0.4287473377
269	0.4282885509
270	0.4275728085
271	0.4266671975
272	0.4260162041
273	0.4252817202
274	0.4244771251
275	0.4237834212
276	0.423300772
277	0.4227646139
278	0.422197377
279	0.4209322209
280	0.4203833989
281	0.4194069633
282	0.418244756
283	0.4167260289
284	0.4158930768
285	0.4149436651
286	0.4140872062
287	0.4136864572
288	0.4127564697
289	0.4113810732
290	0.4106112085
291	0.4096521565
292	0.4090251241
293	0.4079754983
294	0.4074580618
295	0.4061393082
296	0.4053950168
297	0.4048190293
298	0.4041622897
299	0.4034277511
300	0.4024380664
301	0.4016755573
302	0.4007441322
303	0.3999295684
304	0.399231619
305	0.3980342435
306	0.3972152425
307	0.3962504688
308	0.3953019647
309	0.3950327652
310	0.3945163651
311	0.3937156535
312	0.3929727239
313	0.3924283352
314	0.3912718171
315	0.3907001252
316	0.3897513567
