iter	Passed	Remaining
0	8	8019
1	14	7391
2	23	7717
3	30	7577
4	38	7662
5	48	7954
6	56	8010
7	67	8332
8	76	8369
9	82	8203
10	91	8185
11	97	8047
12	106	8060
13	109	7731
14	116	7642
15	124	7660
16	131	7577
17	139	7631
18	150	7766
19	157	7732
20	164	7664
21	172	7676
22	178	7602
23	186	7586
24	193	7561
25	202	7570
26	208	7524
27	218	7585
28	227	7603
29	238	7713
30	250	7839
31	259	7844
32	269	7902
33	276	7855
34	284	7832
35	290	7790
36	299	7786
37	306	7748
38	308	7604
39	316	7604
40	323	7571
41	331	7565
42	338	7523
43	344	7493
44	353	7511
45	362	7508
46	368	7475
47	374	7437
48	382	7417
49	388	7387
50	397	7396
51	406	7403
52	416	7441
53	423	7413
54	431	7413
55	438	7388
56	446	7387
57	455	7397
58	464	7401
59	470	7373
60	477	7356
61	484	7330
62	491	7309
63	499	7298
64	505	7274
65	513	7273
66	520	7253
67	529	7253
68	535	7230
69	544	7237
70	551	7216
71	560	7221
72	570	7241
73	577	7231
74	584	7213
75	592	7207
76	599	7183
77	607	7177
78	613	7157
79	620	7134
80	628	7129
81	634	7107
82	643	7112
83	656	7159
84	666	7171
85	674	7173
86	681	7152
87	689	7148
88	696	7129
89	703	7109
90	711	7105
91	717	7085
92	726	7080
93	732	7062
94	741	7067
95	748	7046
96	756	7038
97	762	7019
98	769	7004
99	778	7010
100	786	7003
101	793	6989
102	800	6970
103	810	6982
104	818	6978
105	825	6963
106	832	6945
107	840	6942
108	847	6924
109	854	6915
110	861	6897
111	868	6889
112	877	6891
113	887	6894
114	893	6877
115	902	6879
116	909	6862
117	917	6857
118	924	6844
119	931	6829
120	938	6821
121	946	6808
122	953	6801
123	960	6785
124	968	6781
125	975	6765
126	983	6762
127	993	6764
128	1001	6764
129	1008	6748
130	1016	6743
131	1023	6727
132	1031	6721
133	1038	6709
134	1045	6699
135	1052	6686
136	1059	6671
137	1066	6663
138	1073	6647
139	1081	6643
140	1090	6643
141	1100	6647
142	1107	6638
143	1116	6634
144	1123	6621
145	1131	6619
146	1138	6604
147	1145	6596
148	1152	6582
149	1159	6570
150	1167	6561
151	1173	6549
152	1182	6547
153	1190	6537
154	1199	6536
155	1213	6562
156	1219	6550
157	1229	6549
158	1235	6536
159	1243	6529
160	1250	6515
161	1257	6505
162	1264	6495
163	1271	6482
164	1280	6478
165	1286	6461
166	1294	6459
167	1301	6446
168	1309	6438
169	1318	6436
170	1327	6435
171	1333	6421
172	1342	6418
173	1349	6406
174	1357	6398
175	1363	6384
176	1370	6373
177	1379	6370
178	1386	6357
179	1394	6353
180	1401	6341
181	1410	6338
182	1418	6333
183	1427	6330
184	1434	6318
185	1441	6309
186	1448	6297
187	1456	6291
188	1463	6277
189	1470	6270
190	1477	6259
191	1484	6247
192	1492	6241
193	1499	6228
194	1507	6221
195	1513	6208
196	1521	6203
197	1531	6202
198	1539	6194
199	1545	6183
200	1553	6175
201	1560	6164
202	1568	6156
203	1575	6146
204	1581	6134
205	1590	6128
206	1596	6115
207	1607	6120
208	1615	6112
209	1624	6111
210	1632	6103
211	1638	6091
212	1645	6079
213	1653	6073
214	1660	6061
215	1669	6060
216	1676	6049
217	1686	6048
218	1692	6036
219	1701	6031
220	1707	6019
221	1715	6012
222	1724	6008
223	1733	6004
224	1739	5992
225	1749	5990
226	1755	5978
227	1763	5971
228	1771	5962
229	1778	5953
230	1786	5947
231	1792	5935
232	1800	5928
233	1807	5916
234	1816	5913
235	1823	5903
236	1832	5900
237	1842	5899
238	1851	5894
239	1857	5881
240	1866	5877
241	1872	5866
242	1882	5863
243	1888	5852
244	1897	5846
245	1903	5835
246	1912	5830
247	1919	5819
248	1927	5813
249	1937	5811
250	1945	5806
251	1952	5795
252	1960	5789
253	1967	5779
254	1975	5772
255	1982	5762
256	1989	5751
257	1998	5746
258	2008	5745
259	2015	5737
260	2023	5729
261	2030	5720
262	2037	5709
263	2046	5706
264	2056	5705
265	2064	5695
266	2071	5687
267	2078	5677
268	2085	5666
269	2093	5659
270	2099	5648
271	2108	5643
272	2115	5632
273	2124	5629
274	2131	5619
275	2140	5613
276	2151	5614
277	2160	5610
278	2167	5600
279	2176	5596
280	2183	5585
281	2191	5580
282	2198	5570
283	2207	5565
284	2214	5554
285	2223	5551
286	2230	5541
287	2239	5536
288	2248	5531
289	2256	5525
290	2263	5514
291	2272	5509
292	2278	5498
293	2287	5492
294	2293	5481
295	2302	5475
296	2309	5465
297	2318	5461
298	2325	5451
299	2332	5443
300	2342	5439
301	2351	5434
302	2358	5425
303	2367	5419
304	2373	5409
305	2382	5402
306	2388	5392
307	2395	5382
308	2406	5381
309	2415	5376
310	2422	5366
311	2429	5358
312	2439	5354
313	2449	5350
314	2455	5340
315	2464	5335
316	2471	5325
317	2479	5317
318	2486	5307
319	2492	5297
320	2501	5290
321	2507	5280
322	2516	5273
323	2522	5262
324	2531	5256
325	2538	5248
326	2547	5244
327	2557	5239
328	2565	5233
329	2572	5222
330	2580	5216
331	2587	5205
332	2595	5199
333	2602	5189
334	2611	5183
335	2617	5173
336	2625	5164
337	2632	5155
338	2638	5145
339	2647	5139
340	2656	5132
341	2663	5124
342	2670	5114
343	2678	5108
344	2685	5098
345	2694	5092
346	2700	5082
347	2709	5075
348	2715	5066
349	2724	5059
350	2730	5049
351	2737	5040
352	2745	5032
353	2752	5022
354	2760	5016
355	2768	5009
356	2777	5002
357	2784	4992
358	2793	4987
359	2802	4981
360	2817	4987
361	2826	4981
362	2832	4971
363	2842	4966
364	2849	4956
365	2857	4950
366	2866	4944
367	2874	4937
368	2881	4927
369	2889	4920
370	2896	4910
371	2906	4907
372	2913	4897
373	2921	4889
374	2928	4880
375	2935	4871
376	2942	4862
377	2951	4856
378	2960	4851
379	2968	4844
380	2975	4834
381	2982	4825
382	2990	4817
383	2997	4807
384	3005	4801
385	3019	4803
386	3026	4794
387	3034	4786
388	3041	4776
389	3048	4767
390	3055	4759
391	3062	4750
392	3072	4745
393	3080	4738
394	3088	4730
395	3095	4720
396	3103	4713
397	3110	4704
398	3118	4697
399	3125	4688
400	3134	4681
401	3141	4672
402	3149	4665
403	3156	4657
404	3166	4651
405	3174	4645
406	3183	4638
407	3190	4628
408	3198	4621
409	3207	4615
410	3215	4608
411	3222	4598
412	3230	4591
413	3237	4581
414	3244	4573
415	3251	4564
416	3257	4554
417	3266	4547
418	3272	4537
419	3280	4530
420	3289	4523
421	3297	4516
422	3304	4507
423	3312	4499
424	3318	4490
425	3326	4482
426	3335	4475
427	3344	4469
428	3351	4460
429	3359	4453
430	3366	4444
431	3372	4434
432	3381	4428
433	3389	4420
434	3397	4412
435	3403	4402
436	3411	4394
437	3418	4385
438	3426	4378
439	3433	4369
440	3441	4361
441	3447	4352
442	3455	4344
443	3462	4335
444	3468	4325
445	3477	4319
446	3489	4316
447	3496	4307
448	3503	4298
449	3510	4291
450	3517	4282
451	3526	4275
452	3532	4265
453	3541	4258
454	3547	4249
455	3556	4242
456	3562	4233
457	3571	4225
458	3578	4217
459	3585	4209
460	3595	4203
461	3603	4196
462	3612	4189
463	3621	4183
464	3628	4174
465	3636	4167
466	3643	4158
467	3651	4150
468	3658	4141
469	3665	4133
470	3672	4125
471	3679	4116
472	3688	4109
473	3696	4101
474	3704	4094
475	3710	4085
476	3719	4078
477	3726	4069
478	3734	4062
479	3741	4053
480	3750	4047
481	3757	4038
482	3765	4031
483	3772	4021
484	3780	4014
485	3789	4007
486	3798	4000
487	3804	3991
488	3810	3982
489	3818	3974
490	3825	3965
491	3833	3958
492	3840	3949
493	3849	3942
494	3855	3933
495	3864	3926
496	3870	3917
497	3879	3910
498	3888	3903
499	3896	3896
500	3905	3889
501	3914	3882
502	3920	3873
503	3929	3867
504	3936	3858
505	3944	3850
506	3951	3841
507	3958	3833
508	3965	3825
509	3972	3816
510	3981	3809
511	3987	3800
512	3996	3794
513	4005	3787
514	4016	3782
515	4024	3775
516	4032	3766
517	4038	3757
518	4046	3750
519	4053	3741
520	4061	3734
521	4068	3725
522	4076	3718
523	4083	3709
524	4092	3702
525	4099	3694
526	4106	3686
527	4116	3680
528	4125	3673
529	4132	3665
530	4141	3658
531	4149	3650
532	4158	3643
533	4165	3635
534	4174	3628
535	4180	3619
536	4188	3611
537	4195	3602
538	4201	3593
539	4210	3586
540	4219	3580
541	4226	3571
542	4232	3562
543	4240	3554
544	4247	3545
545	4255	3538
546	4262	3530
547	4271	3523
548	4278	3514
549	4285	3506
550	4292	3497
551	4299	3489
552	4308	3482
553	4316	3474
554	4323	3466
555	4330	3458
556	4338	3450
557	4345	3442
558	4353	3434
559	4360	3425
560	4368	3418
561	4375	3410
562	4382	3402
563	4389	3393
564	4396	3384
565	4406	3378
566	4414	3370
567	4423	3364
568	4432	3357
569	4439	3348
570	4445	3340
571	4453	3332
572	4460	3323
573	4469	3316
574	4475	3308
